Date,Open,High,Low,Close,Adj Close,Volume,CPI,Core CPI,gdp,Unemployment_rate,m1,DFF,M2
2007-05-01,11.760668,12.672002,11.392548,12.401267,12.401267,3998198267,2.783324,210.058,14215.651,4.4,1379.5000000000000000,5.2535483870967700,7240.5750000000000000
2007-06-01,12.478229,13.324805,12.393297,13.018703,13.018703,5181284205,2.6305791,210.392,14402.082,4.6,1367.1750000000000000,5.2540000000000000,7282.9000000000000000
2007-07-01,13.088192,13.912353,12.425426,12.702388,12.702388,4682718433,2.5346411,210.773,14402.082,4.7,1376.8400000000000000,5.2583870967741900,7285.1200000000000000
2007-08-01,12.714842,13.121318,11.966646,12.833148,12.833148,3561326880,2.4685402,211.119,14402.082,4.6,1364.4000000000000000,5.0222580645161300,7344.9500000000000000
2007-09-01,12.827420,14.241370,12.724306,14.128792,14.128792,2786959199,2.4838823,211.554,14564.117,4.7,1361.1000000000000000,4.9380000000000000,7372.6000000000000000
2007-10-01,14.196040,17.608997,14.187073,17.608997,17.608997,6241346740,2.5033248,212.077,14564.117,4.7,1368.8200000000000000,4.7554838709677400,7371.2400000000000000
2007-11-01,17.504141,18.611240,15.342991,17.260303,17.260303,6884717244,2.6563697,212.660,14564.117,4.7,1367.6750000000000000,4.4866666666666700,7432.3500000000000000
2007-12-01,17.210739,18.052336,16.251585,17.222446,17.222446,3425355126,2.7127336,213.168,14715.058,5.0,1398.3800000000000000,4.2445161290322600,7496.6000000000000000
2008-01-01,17.257067,17.369146,12.926548,14.054819,14.054819,6335233336,2.7470404,213.771,14715.058,5.0,1370.5000000000000000,3.9403225806451600,7503.2250000000000000
2008-02-01,13.167395,13.475491,11.129534,11.735512,11.735512,7113985391,2.6165653,213.939,14715.058,4.9,1364.3250000000000000,2.9806896551724100,7571.7250000000000000
2008-03-01,11.743732,11.773869,10.264277,10.970629,10.970629,5846452106,2.6887664,214.420,14706.538,5.1,1403.5000000000000000,2.6103225806451600,7707.0000000000000000
2008-04-01,11.151701,14.566900,10.983830,14.303636,14.303636,5743234666,2.7251103,214.560,14706.538,5.0,1402.2500000000000000,2.2783333333333300,7775.8750000000000000
2008-05-01,14.403761,15.005008,13.395042,14.590312,14.590312,4200999578,2.7937419,214.936,14706.538,5.4,1392.0500000000000000,1.9783870967741900,7703.6500000000000000
2008-06-01,14.508120,14.646103,12.829163,13.111355,13.111355,3765445109,2.9376962,215.424,14865.701,5.6,1413.2800000000000000,2.0010000000000000,7729.5000000000000000
2008-07-01,12.940994,13.840124,11.596533,11.799522,11.799522,4179045594,3.0142542,215.965,14865.701,5.8,1410.8250000000000000,2.0096774193548400,7748.4000000000000000
2008-08-01,11.768638,12.718827,11.504379,11.538999,11.538999,2762893330,3.0845059,216.393,14865.701,6.1,1399.9750000000000000,1.9964516129032300,7744.7500000000000000
2008-09-01,11.874741,12.009486,9.482208,9.975609,9.975609,5383242366,3.0766785,216.713,14898.999,6.1,1439.8800000000000000,1.8116666666666700,7796.7800000000000000
2008-10-01,10.240367,10.385572,7.707112,8.950452,8.950452,8001704352,2.9291949,216.788,14898.999,6.5,1450.1750000000000000,0.96935483870967700000,7923.0250000000000000
2008-11-01,8.906118,9.274238,6.159413,7.296650,7.296650,6345013858,2.7864624,216.947,14898.999,6.8,1506.1750000000000000,0.38766666666666700000,7983.4500000000000000
2008-12-01,7.140237,8.206739,6.539987,7.662529,7.662529,4537239177,2.6304305,216.925,14608.208,7.3,1617.3800000000000000,0.15516129032258100000,8200.9400000000000000
2009-01-01,7.686190,8.775358,7.042354,8.431646,8.431646,4411742543,2.5522481,217.346,14608.208,7.8,1588.7500000000000000,0.15419354838709700000,8285.2500000000000000
2009-02-01,8.326042,9.489431,8.207984,8.418197,8.418197,4480141965,2.5594949,217.792,14608.208,8.3,1551.8000000000000000,0.22214285714285700000,8286.8750000000000000
2009-03-01,8.302132,8.945470,7.209228,8.669006,8.669006,4576100295,2.4535819,218.253,14430.901,8.7,1594.4800000000000000,0.18064516129032300000,8427.3000000000000000
2009-04-01,8.562406,10.056057,8.483452,9.862284,9.862284,3526484770,2.3761457,218.706,14430.901,9.0,1623.2750000000000000,0.15033333333333300000,8449.7250000000000000
2009-05-01,9.838871,10.391799,9.581337,10.391799,10.391799,2289963292,2.2888288,218.904,14430.901,9.4,1613.4500000000000000,0.17741935483871000000,8422.3000000000000000
2009-06-01,10.429159,11.141738,10.009731,10.500392,10.500392,2829004207,2.0898948,219.112,14381.236,9.5,1661.6800000000000000,0.20633333333333300000,8439.7400000000000000
2009-07-01,10.565398,11.275238,9.862533,11.034889,11.034889,2931635455,1.9228669,219.263,14381.236,9.5,1649.2000000000000000,0.15580645161290300000,8411.5750000000000000
2009-08-01,11.176607,11.814466,10.923058,11.498650,11.498650,1956851371,1.7701932,219.496,14381.236,9.6,1660.2200000000000000,0.16032258064516100000,8385.4200000000000000
2009-09-01,11.449086,12.627668,11.272498,12.349959,12.349959,2050842356,1.6158958,219.920,14448.882,9.8,1636.0500000000000000,0.14666666666666700000,8397.4250000000000000
2009-10-01,12.278975,13.988567,12.019946,13.352950,13.352950,3098550758,1.5209969,220.501,14448.882,10.0,1652.3750000000000000,0.11806451612903200000,8422.5000000000000000
2009-11-01,13.376860,14.621694,13.156686,14.520573,14.520573,1642381057,1.3714917,220.666,14448.882,9.9,1692.5600000000000000,0.11900000000000000000,8489.8400000000000000
2009-12-01,14.648344,15.591310,14.425430,15.441621,15.441621,1711202055,1.3248615,220.881,14651.248,9.9,1713.9750000000000000,0.11806451612903200000,8546.6750000000000000
2010-01-01,15.615220,15.678981,13.091181,13.199027,13.199027,3577378821,1.1770019,220.633,14651.248,9.8,1681.2000000000000000,0.11000000000000000000,8479.1500000000000000
2010-02-01,13.315092,13.636387,12.951455,13.120820,13.120820,2089173495,1.0548474,220.731,14651.248,9.8,1680.5750000000000000,0.12642857142857100000,8487.2750000000000000
2010-03-01,13.180596,14.652080,13.144232,14.125056,14.125056,3363548325,0.93183853,220.783,14764.611,9.9,1726.2000000000000000,0.16451612903225800000,8566.1400000000000000
2010-04-01,14.230411,14.890188,12.977109,13.093423,13.093423,2933394020,0.87602978,220.822,14764.611,9.9,1711.5250000000000000,0.19833333333333300000,8611.5500000000000000
2010-05-01,13.113348,13.273249,11.457056,12.095413,12.095413,3274676457,0.7998678,220.962,14764.611,9.6,1717.9200000000000000,0.20064516129032300000,8577.6600000000000000
2010-06-01,11.965899,12.683708,11.076483,11.082211,11.082211,2403503278,0.78483473,221.194,14980.193,9.4,1725.2500000000000000,0.17666666666666700000,8608.9500000000000000
2010-07-01,11.090679,12.391055,10.800268,12.075986,12.075986,2782791635,0.74959322,221.363,14980.193,9.4,1712.7250000000000000,0.18258064516129000000,8577.8500000000000000
2010-08-01,12.179100,12.667519,11.149459,11.208488,11.208488,2122132569,0.69562861,221.509,14980.193,9.5,1745.9600000000000000,0.18935483870967700000,8601.7600000000000000
2010-09-01,11.332025,13.371132,11.270256,13.095664,13.095664,2396990959,0.6676136,221.711,15141.605,9.5,1732.6000000000000000,0.19466666666666700000,8650.6000000000000000
2010-10-01,13.200521,15.560177,12.922812,15.285207,15.285207,3185812619,0.67526624,221.830,15141.605,9.4,1759.9000000000000000,0.19129032258064500000,8703.7250000000000000
2010-11-01,15.335768,15.712356,13.781095,13.840871,13.840871,2346438185,0.82600201,222.149,15141.605,9.8,1829.2200000000000000,0.19433333333333300000,8762.3600000000000000
2010-12-01,14.022440,15.118333,14.007496,14.793799,14.793799,1697747812,0.83710132,222.343,15309.471,9.3,1853.5250000000000000,0.18322580645161300000,8852.3750000000000000
2011-01-01,14.856315,16.013975,14.833152,14.952953,14.952953,2408369449,0.96003713,222.803,15309.471,9.1,1871.7800000000000000,0.16838709677419400000,8853.0600000000000000
2011-02-01,15.055817,15.720575,14.977610,15.277735,15.277735,1681037411,1.1238816,223.213,15309.471,9.0,1858.6750000000000000,0.15678571428571400000,8887.1250000000000000
2011-03-01,15.386826,15.422692,13.730535,14.614222,14.614222,2414576630,1.1861014,223.454,15351.444,9.0,1896.1250000000000000,0.13870967741935500000,8998.9000000000000000
2011-04-01,14.664036,14.824185,12.926548,13.551705,13.551705,2820199328,1.21555,223.727,15351.444,9.1,1915.9750000000000000,0.09800000000000000000,9064.6000000000000000
2011-05-01,13.591556,13.592303,12.787071,13.176113,13.176113,1819912003,1.2613949,224.175,15351.444,9.0,1941.6800000000000000,0.09387096774193550000,9018.3400000000000000
2011-06-01,13.151704,13.280222,11.781341,12.612226,12.612226,2373868616,1.2990532,224.697,15557.535,9.1,1940.1000000000000000,0.09200000000000000000,9102.9750000000000000
2011-07-01,12.621193,15.628919,12.612226,15.035892,15.035892,3254372638,1.4236275,225.218,15557.535,9.0,1973.3250000000000000,0.07096774193548390000,9238.3250000000000000
2011-08-01,15.223439,15.330039,12.225675,13.473498,13.473498,4287032849,1.6569751,225.862,15557.535,9.0,2102.5400000000000000,0.09580645161290320000,9444.9800000000000000
2011-09-01,13.468268,13.910859,12.714842,12.827918,12.827918,2353978341,1.7268145,226.118,15647.681,9.0,2086.7250000000000000,0.08400000000000000000,9497.6500000000000000
2011-10-01,12.698652,15.011234,11.970133,14.760673,14.760673,3100196907,1.8413647,226.506,15647.681,8.8,2141.6200000000000000,0.07064516129032260000,9544.4200000000000000
2011-11-01,14.448344,15.399778,13.980846,14.928793,14.928793,2421060842,1.8407168,226.899,15647.681,8.6,2156.4750000000000000,0.08100000000000000000,9632.8750000000000000
2011-12-01,14.943986,16.108622,14.919080,16.087200,16.087200,2210153263,2.0478499,227.405,15842.267,8.5,2183.4750000000000000,0.07161290322580650000,9709.3000000000000000
2012-01-01,16.262545,16.693678,14.061046,14.448593,14.448593,2956745222,2.1159285,227.877,15842.267,8.3,2230.4600000000000000,0.08193548387096770000,9768.8400000000000000
2012-02-01,14.568892,15.581596,14.424434,15.398533,15.398533,1901685367,2.0181912,228.034,15842.267,8.3,2189.8500000000000000,0.10379310344827600000,9781.3250000000000000
2012-03-01,15.498408,16.403267,14.790561,15.971136,15.971136,1900304210,2.1247577,228.478,16068.824,8.2,2225.7250000000000000,0.12677419354838700000,9891.9250000000000000
2012-04-01,15.959430,16.267525,14.699901,15.064783,15.064783,2363935524,2.1937928,228.905,16068.824,8.2,2284.9400000000000000,0.13933333333333300000,9947.4200000000000000
2012-05-01,15.038382,15.886703,14.420947,14.467273,14.467273,2355728878,2.1896843,229.224,16068.824,8.2,2236.7000000000000000,0.15580645161290300000,9883.2000000000000000
2012-06-01,14.241370,14.642367,13.861045,14.447597,14.447597,1867144380,2.2407468,229.623,16207.13,8.2,2259.1750000000000000,0.16166666666666700000,9950.7500000000000000
2012-07-01,14.491183,16.005009,13.999775,15.765158,15.765158,2059153390,2.2616531,229.970,16207.13,8.2,2322.5800000000000000,0.15645161290322600000,10000.1400000000000000
2012-08-01,15.873004,17.160429,15.527051,17.063293,17.063293,1889588194,2.1718632,230.233,16207.13,8.1,2317.2250000000000000,0.13225806451612900000,10063.4500000000000000
2012-09-01,17.049843,19.050842,16.774626,18.792063,18.792063,2416126416,2.2199385,230.659,16319.54,7.8,2351.0000000000000000,0.14433333333333300000,10150.8500000000000000
2012-10-01,18.905388,19.287207,16.679979,16.943991,16.943991,2882716781,2.2070705,231.024,16319.54,7.8,2412.2200000000000000,0.15838709677419400000,10228.2400000000000000
2012-11-01,16.924065,17.415222,15.840625,17.394053,17.394053,1874166603,2.1959869,231.330,16319.54,7.7,2412.5250000000000000,0.16066666666666700000,10341.2000000000000000
